academic_term,month,start_date_display,end_date_display,event,event_url,source_url
Summer 2026,August,"Sun, Aug 23",,Summer 2026 for Online and Professional Master’s programs (Excluding PRIME),http://events.brown.edu/academic-calendar/event/329123-summer-2026-for-online-and-professional-masters-progr,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,August,"Fri, Aug 28",,Last Day for ScM in Data Science (residential) and AM in Design Engineering classes,http://events.brown.edu/academic-calendar/event/335165-last-day-for-scm-in-data-science-residential-and,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,July,"Wed, Jul 15",,Registration opens for Fall 2026 for Online and Professional Master’s programs (except Cybersecurity and PRIME) students at 9:00 a.m. EDT.,http://events.brown.edu/academic-calendar/event/330086-registration-opens-for-fall-2026-for-online-and,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,August,"Sat, Aug 1",,Last day for payment of charges.,http://events.brown.edu/academic-calendar/event/330091-last-day-for-payment-of-charges,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Tue, Sep 1",,Beginning of Graduate School All-Student Orientation.,http://events.brown.edu/academic-calendar/event/330093-beginning-of-graduate-school-all-student,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Tue, Sep 1",,Doctoral and MFA All-Student Orientation sponsored by the Graduate School,http://events.brown.edu/academic-calendar/event/334235-doctoral-and-mfa-all-student-orientation-sponsored,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Wed, Sep 2",,Beginning of College Orientation.,http://events.brown.edu/academic-calendar/event/330094-beginning-of-college-orientation,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Wed, Sep 2",,Master’s (non-MFA) All-Student Orientation sponsored by the Division of Master’s and Professional Programs,http://events.brown.edu/academic-calendar/event/334236-masters-non-mfa-all-student-orientation-sponsored,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Fri, Sep 4","Mon, Sep 7","Registration of new undergraduate and all graduate students (residential programs, Cybersecurity, and PRIME) for the fall semester begins at 4:00 pm EDT Fri and ends at 11:59 p.m. EDT Mon Sept 7. (Max of 4 credit hrs allowed for undergraduates).",http://events.brown.edu/academic-calendar/event/330455-registration-of-new-undergraduate-and-all-graduate-st,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Tue, Sep 8",,Opening Convocation at 4:00 p.m. EDT,http://events.brown.edu/academic-calendar/event/329140-opening-convocation-at-400-pm-edt,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Tue, Sep 8",,Registration re-opens at 9:00 a.m. EDT on Sept. 8 for all students for the fall semester. (Up to a maximum of 5 credit hours allowed).,http://events.brown.edu/academic-calendar/event/330097-registration-re-opens-at-900-am-edt-on-sept-8-for,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Wed, Sep 9",,Classes of the first semester begin.,http://events.brown.edu/academic-calendar/event/311737-classes-of-the-first-semester-begin,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Wed, Sep 9",,First day of RISD Fall Session.,http://events.brown.edu/academic-calendar/event/330087-first-day-of-risd-fall-session,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Wed, Sep 16",,Last day to register for a Fall RISD course or change a grade option for a Fall RISD course - (5:00 p.m. EDT deadline).,http://events.brown.edu/academic-calendar/event/330098-last-day-to-register-for-a-fall-risd-course-or-change,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,September,"Tue, Sep 22",,"Last day to add a course without a fee. (5:00 p.m. EDT deadline) Banner Web will be taken down for approximately one hour. Once relaunched, all course adds require Instructor override and will be charged a late fee of $15 per course.",http://events.brown.edu/academic-calendar/event/329141-last-day-to-add-a-course-without-a-fee-500-pm-edt,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,October,"Thu, Oct 1",,Deadline for undergraduates on personal leave (including employment and military leave) or on Full-time Study Away status to request return to studies at Brown for Spring.,http://events.brown.edu/academic-calendar/event/330456-deadline-for-undergraduates-on-personal-leave,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,October,"Tue, Oct 6",,"Last day to add a course (includes late fee), change from audit to credit, or change a grade option declaration (5:00 p.m. EDT deadline).",http://events.brown.edu/academic-calendar/event/329144-last-day-to-add-a-course-includes-late-fee-change,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,October,"Mon, Oct 12",,Indigenous Peoples’ Day. No University exercises.,http://events.brown.edu/academic-calendar/event/311744-indigenous-peoples-day-no-university-exercises,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,October,"Tue, Oct 13",,Last day to receive any partial tuition refund.,http://events.brown.edu/academic-calendar/event/329145-last-day-to-receive-any-partial-tuition-refund,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,October,"Fri, Oct 16",,Last day to change from credit to audit in a course (5:00 p.m. EDT deadline).,http://events.brown.edu/academic-calendar/event/329146-last-day-to-change-from-credit-to-audit-in-a,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,October,"Sat, Oct 17",,Mid-semester.,http://events.brown.edu/academic-calendar/event/311746-mid-semester,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,October,"Tue, Oct 20",,Date by which sophomores entering their 5th semester must file their concentration declaration forms via ASK to avoid having a “No Concentration” hold placed against their Banner registration (5:00 p.m. EDT deadline).,http://events.brown.edu/academic-calendar/event/330457-date-by-which-sophomores-entering-their-5th,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,October,"Mon, Oct 26",,Advising period for spring pre-registration begins. Students in their first through third semesters will need to procure their advising PIN from their advisor in order to register.,http://events.brown.edu/academic-calendar/event/330458-advising-period-for-spring-pre-registration-begins,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Tue, Nov 3",,United States Election Day. No University exercises.,http://events.brown.edu/academic-calendar/event/311817-united-states-election-day-no-university-exercises,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Tue, Nov 10",,"Registration opens for Spring 2027 for UG students semester level 07 and above and continuing graduate students (residential programs, Cybersecurity, and PRIME) at noon EST. Registration remains open until Tues Nov 17 5:00 pm EST (Max 4 credits for UG)",http://events.brown.edu/academic-calendar/event/329151-registration-opens-for-spring-2027-for-ug-students,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Wed, Nov 11",,"Registration opens for Spring 2027 for UG students sem levels 05-06 at noon EST. (Students are unable to register for 5th semester unless approved concentration is filed). Registration remains open until Tuesday, November 17, 5:00. (Max 4 credits for UG)",http://events.brown.edu/academic-calendar/event/329152-registration-opens-for-spring-2027-for-ug-students,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Thu, Nov 12",,"Registration opens for Spring 2027 for undergraduate students semester levels 03-04 at noon EST. Registration remains open until Tuesday, November 17, 5:00 p.m. EST. (Maximum of 4 credit hours allowed for undergraduates).",http://events.brown.edu/academic-calendar/event/329153-registration-opens-for-spring-2027-for,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Thu, Nov 12",,Students on serious warning who wish to drop a course after this date must meet with an academic dean for advising and to obtain a “drop code.”,http://events.brown.edu/academic-calendar/event/331277-students-on-serious-warning-who-wish-to-drop-a,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Fri, Nov 13",,"Registration opens for Spring 2027 for undergraduate students semester levels 01-02 at noon EST. Registration remains open until Tuesday, November 17, 5:00 p.m. EST. (Maximum of 4 credit hours allowed for undergraduates).",http://events.brown.edu/academic-calendar/event/329154-registration-opens-for-spring-2027-for,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Fri, Nov 13",,"Deadline for submission of proposals for College Curriculum Council-approved undergraduate group study projects (GISPs), independent study projects, and internships for credit) for Semester II.",http://events.brown.edu/academic-calendar/event/330477-deadline-for-submission-of-proposals-for-college,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Sat, Nov 14","Tue, Nov 17","Registration for Spring 2027 continues until Tuesday, November 17, 5:00 p.m. EST.",http://events.brown.edu/academic-calendar/event/329155-registration-for-spring-2027-continues-until,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Wed, Nov 25","Sun, Nov 29",Thanksgiving recess,http://events.brown.edu/academic-calendar/event/311758-thanksgiving-recess,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,November,"Mon, Nov 30",,Classes resume.,http://events.brown.edu/academic-calendar/event/311759-classes-resume,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,December,"Tue, Dec 1",,Deadline for UG to req pers. leave (incl employ & military leave) or to request Full-time Study Away status for Spr. Any Full-time Study Away apprv by Study Away Review Committee for which the Registrar does not receive enr verif will not be honored.,http://events.brown.edu/academic-calendar/event/330459-deadline-for-ug-to-req-pers-leave-incl-employ-amp,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,December,"Wed, Dec 2",,Registration opens for Spring 2027 for Online and Professional Master’s programs (except Cybersecurity and PRIME) students at 9:00 a.m. EST.,http://events.brown.edu/academic-calendar/event/330099-registration-opens-for-spring-2027-for-online-and,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,December,"Sat, Dec 5",,Midyear Completion Celebration at 4:00 p.m. in Salomon De Ciccio Family Auditorium. Reception to follow in Sayles Hall.,http://events.brown.edu/academic-calendar/event/329139-midyear-completion-celebration-at-400-pm-in,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,December,"Mon, Dec 7",,Beginning of Reading Period (optional and at the discretion of the instructor).,http://events.brown.edu/academic-calendar/event/311763-beginning-of-reading-period-optional-and-at-the-discr,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,December,"Wed, Dec 9",,Last day of Fall RISD classes.,http://events.brown.edu/academic-calendar/event/330100-last-day-of-fall-risd-classes,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,December,"Fri, Dec 11",,Classes end for courses not observing the Reading Period. Last day to drop a course (5:00 p.m. EST deadline) or to request an incomplete from an instructor.,http://events.brown.edu/academic-calendar/event/311764-classes-end-for-courses-not-observing-the-reading-per,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,December,"Fri, Dec 11",,UG CONCENTRATIONS:Last day for students to declare second concentrations in ASK for students in their penultimate semester (typically the 7th semester) who are declaring a second concentration (5:00 p.m. EST deadline).,http://events.brown.edu/academic-calendar/event/330460-ug-concentrationslast-day-for-students-to-declare,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,December,"Fri, Dec 11",,UG CERTIFICATES: Last day for students in their ante-penultimate (typically 6th) semester to declare an undergraduate certificate in ASK.,http://events.brown.edu/academic-calendar/event/330461-ug-certificates-last-day-for-students-in-their,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Fall 2026,December,"Sat, Dec 12","Mon, Dec 21","Final Examination Period (inclusive of Sunday, December 20).",http://events.brown.edu/academic-calendar/event/311767-final-examination-period-inclusive-of-sunday-december,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Winter 2027,December,"Wed, Nov 18","Wed, Dec 16",Registration for Wintersession courses (begins at 9:00 a.m. EST).,http://events.brown.edu/academic-calendar/event/329156-registration-for-wintersession-courses-begins-at,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Winter 2027,December,"Wed, Dec 16",,Wintersession tuition due.,http://events.brown.edu/academic-calendar/event/329126-wintersession-tuition-due,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Winter 2027,December,"Wed, Dec 16",,Last day to register for a Wintersession course (5:00 p.m. EST deadline).,http://events.brown.edu/academic-calendar/event/329157-last-day-to-register-for-a-wintersession-course,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Winter 2027,December,"Tue, Dec 22",,Wintersession courses begin.,http://events.brown.edu/academic-calendar/event/329127-wintersession-courses-begin,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Winter 2027,January,"Tue, Jan 5",,Last day to change a grade option declaration.,http://events.brown.edu/academic-calendar/event/329158-last-day-to-change-a-grade-option-declaration,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Winter 2027,January,"Tue, Jan 12",,Last day to drop a course or request an incomplete from an instructor.,http://events.brown.edu/academic-calendar/event/329159-last-day-to-drop-a-course-or-request-an-incomplete,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Winter 2027,January,"Mon, Jan 18",,"Martin Luther King, Jr. holiday. No University exercises.",http://events.brown.edu/academic-calendar/event/311780-martin-luther-king-jr-holiday-no-university-exercises,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Winter 2027,January,"Tue, Jan 26",,Final examinations. Wintersession ends.,http://events.brown.edu/academic-calendar/event/329128-final-examinations-wintersession-ends,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,January,"Fri, Jan 1",,Last day for payment of charges.,http://events.brown.edu/academic-calendar/event/330090-last-day-for-payment-of-charges,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,January,"Thu, Jan 7",,First day of RISD Winter Session.,http://events.brown.edu/academic-calendar/event/330466-first-day-of-risd-winter-session,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,January,"Fri, Jan 8",,Theses/Dissertations of candidates for Masters and Ph.D. degrees in February due.,http://events.brown.edu/academic-calendar/event/330465-thesesdissertations-of-candidates-for-masters-and,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,January,"Mon, Jan 18",,"Martin Luther King, Jr. holiday. No University exercises.",http://events.brown.edu/academic-calendar/event/311779-martin-luther-king-jr-holiday-no-university-exercises,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,January,"Fri, Jan 22","Mon, Jan 25","Registration of new UG and new GR students (residential programs, Cybersecurity, and PRIME) for the spring semester begins at 2:00 pm EST Friday and ends at 11:59 p.m. EST Monday Jan 25. (Maximum of 4 credit hours allowed for undergraduates).",http://events.brown.edu/academic-calendar/event/330467-registration-of-new-ug-and-new-gr-students,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,January,"Tue, Jan 26",,Registration re-opens at 9:00 a.m. EST on Jan 26 for all students for the spring semester. (Up to a maximum of 5 credit hours allowed).,http://events.brown.edu/academic-calendar/event/330468-registration-re-opens-at-900-am-est-on-jan-26-for,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,January,"Wed, Jan 27",,Classes of the second semester begin.,http://events.brown.edu/academic-calendar/event/311783-classes-of-the-second-semester-begin,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,February,"Tue, Feb 9",,"Last day to add a course without a fee. (5:00 p.m. EST deadline) Banner web will be taken down for approximately one hour. Once relaunched, all course adds require Instructor override and will be charged a late fee of $15 per course.",http://events.brown.edu/academic-calendar/event/329162-last-day-to-add-a-course-without-a-fee-500-pm-est,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,February,"Wed, Feb 10",,Last day of Winter RISD classes.,http://events.brown.edu/academic-calendar/event/330469-last-day-of-winter-risd-classes,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,February,"Sat, Feb 13","Tue, Feb 16",Long weekend. No University exercises.,http://events.brown.edu/academic-calendar/event/311787-long-weekend-no-university-exercises,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,February,"Wed, Feb 17",,Classes resume.,http://events.brown.edu/academic-calendar/event/329164-classes-resume,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,February,"Thu, Feb 18",,First day of RISD Spring Session.,http://events.brown.edu/academic-calendar/event/330470-first-day-of-risd-spring-session,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,February,"Wed, Feb 24",,"Last day to add a course (includes late fee), change from audit to credit, or change a grade option declaration (5:00 p.m. EST deadline).",http://events.brown.edu/academic-calendar/event/329165-last-day-to-add-a-course-includes-late-fee-change,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,February,"Thu, Feb 25",,Last day to register for a Spring RISD course or change a grade option for a Spring RISD course (5:00 p.m. EST deadline).,http://events.brown.edu/academic-calendar/event/330471-last-day-to-register-for-a-spring-risd-course-or-chan,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,March,"Tue, Mar 2",,Last day to receive any partial tuition refund.,http://events.brown.edu/academic-calendar/event/330472-last-day-to-receive-any-partial-tuition-refund,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,March,"Fri, Mar 12",,Last day to change from credit to audit in a course (5:00 EST p.m. deadline).,http://events.brown.edu/academic-calendar/event/329166-last-day-to-change-from-credit-to-audit-in-a,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,March,"Sat, Mar 13",,Mid-semester.,http://events.brown.edu/academic-calendar/event/311791-mid-semester,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,March,"Mon, Mar 22",,Date by which sophomores entering their 5th semester must file their concentration declaration forms via ASK to avoid having a “No Concentration” hold placed against their Banner registration. (5:00 p.m. EDT deadline).,http://events.brown.edu/academic-calendar/event/330479-date-by-which-sophomores-entering-their-5th,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,March,"Sat, Mar 27","Sun, Apr 4",Spring Recess.,http://events.brown.edu/academic-calendar/event/311793-spring-recess,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Sat, Mar 27","Sun, Apr 4",Spring Recess.,http://events.brown.edu/academic-calendar/event/311793-spring-recess,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Mon, Apr 5",,Classes resume.,http://events.brown.edu/academic-calendar/event/311795-classes-resume,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Mon, Apr 5",,Advising period for fall pre-registration begins. Students in their first through third semesters will need to procure their advising PIN from their advisor in order to register.,http://events.brown.edu/academic-calendar/event/330480-advising-period-for-fall-pre-registration-begins,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Tue, Apr 6",,Students on serious warning who wish to drop a course after this date must meet with an academic dean for advising and to obtain a “drop code.”,http://events.brown.edu/academic-calendar/event/331278-students-on-serious-warning-who-wish-to-drop-a,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Fri, Apr 9",,"Deadline for submission of proposals for College Curriculum Council-approved undergraduate group study projects (GISPs), independent study projects, and internships for credit) for Semester I.",http://events.brown.edu/academic-calendar/event/330481-deadline-for-submission-of-proposals-for-college,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Mon, Apr 19",,"Registration opens for Fall 2027 for UG semester level 07 and above and continuing GR students (residential programs, Cybersecurity, and PRIME) at noon EDT and remains open until Tue April 27, 5:00 p.m. EDT. (Max of 4 credits allowed for undergraduates)",http://events.brown.edu/academic-calendar/event/330482-registration-opens-for-fall-2027-for-ug-semester,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Tue, Apr 20",,"Registration opens for Fall 2027 for undergraduates semester levels 05-06 at noon EDT (approved concentration must be filed to register for 5th semester) and remains open until Tuesday April 27, 5:00 pm EDT (Max of 4 credits allowed for undergraduates).",http://events.brown.edu/academic-calendar/event/330483-registration-opens-for-fall-2027-for,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Wed, Apr 21",,"Registration opens for Fall 2027 for continuing undergraduate students semester levels 04 and below at noon EDT. Registration remains open until Tuesday, April 27, 5:00 p.m. EDT. (Maximum of 4 credit hours allowed for undergraduates).",http://events.brown.edu/academic-calendar/event/330484-registration-opens-for-fall-2027-for-continuing,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Fri, Apr 23","Tue, Apr 27","Registration for Fall 2027 continues until Tuesday, April 27 5:00 p.m. EDT.",http://events.brown.edu/academic-calendar/event/330485-registration-for-fall-2027-continues-until-tuesday,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,April,"Fri, Apr 30",,Reading Period begins and will end on May 11 (optional and at the discretion of the instructor).,http://events.brown.edu/academic-calendar/event/311803-reading-period-begins-and-will-end-on-may-11-optional,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Spring 2027,May,"Mon, May 3",,Theses of candidates for Masters and Ph.D. degrees in May due.,http://events.brown.edu/academic-calendar/event/330487-theses-of-candidates-for-masters-and-phd-degrees,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
