group_type,name,description,contact_emails,advisor,funding_category,tags,website_url,instagram_url,facebook_url,linkedin_url,youtube_url,twitter_url,tiktok_url,other_social_urls,source_url,directory_source_url
Undergraduate student group,"AI Safety Team, The Brown (BAIST)","BAIST is a student group, concerned about catastrophic risks from advanced AI systems. They conduct reading groups, lead workshops, and host speakers on matters related to AI Safety",baist@brown.edu,Marisa Fortney,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/ai-safety-team-brown-baist,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Aikido Club, Brown","The club is dedicated to teaching AIKIDO, an effective, non-violent, traditional Japanese martial art, that focuses on using the energy of an opponent to protect the opponent & oneself using empty-hand techniques consisting of grabs & pins to quickly & safely that the opponent’s balance. AIKIDO also teaches bukiwaza or weapons techniques of the wooden sword & walking staff. AIKIDO is non-competitive, taught in a cooperative manner, good exercise & fun. The club holds weekly practices & seminars.",brownaikidoclub@brown.edu,Malcom Moniz,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/BrownUniversityAikidoClub,https://www.facebook.com/BrownAikidoClub/,,,,,,https://studentactivities.brown.edu/organizations/aikido-club-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,AIRES @ Brown,"AIRES at Brown’s mission aims to educate tomorrow's AI leaders in ethical AI principles to ensure AI is created ethically and responsibly. AIRES at Brown also educates the broader Brown University population who are sure to be impacted by AI on AI uses, advancements, and dangers to prepare them for AI’s impact on various industries and facets of life. AIRES at Brown achieves its mission of ensuring AI’s construction, output, and impact are ethical through guest speaker, research, and other events.",aires@brown.edu,Marisa Fortney,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownu_aires,,,,,,,https://studentactivities.brown.edu/organizations/aires-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Albanian Student Association,"The ASA is an organization that serves all Brown community members interested in Albanian culture and heritage. It seeks to introduce and represent the rich Albanian heritage to the wider campus community and create a space for dialogue regarding issues related to Albania and Albanians, as well as serve as a supportive community and welcoming space for all Albanian & Albanian-American students and students of all other backgrounds with an interest in Albanian tradition, history, and language.",albanian_students_association@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/albanian-student-association,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Alef Beats, The","Brought together by a love of music and a passion for Jewish culture, the Alef Beats have been singing up and down the East Coast since their inception in 2005. They sing in all styles and formats, including Western pop, old Yiddish melodies, and modern Hebrew songs. Their all-gender membership includes those from as far as Southeast Asia and as close as Providence. Through it all, the Beats remain united with a common friendship and a healthy appreciation for Jewish values and tradition.",alefbeats@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/thealefbeats,https://www.facebook.com/thealefbeats/,,,,,,https://studentactivities.brown.edu/organizations/alef-beats,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Alexander Hamilton Society,"The Alexander Hamilton Society (AHS) is an independent, nonpartisan, not for profit organization dedicated to promoting constructive debate on basic principles and contemporary issues in American foreign, economic, and national security policy.",AHSBrown@brown.edu,Cassie Sutten Coats,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/ahs_brown,,,,,,,https://studentactivities.brown.edu/organizations/alexander-hamilton-society,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Alliance for Ukraine, Brown","Brown Alliance for Ukraine (BAU) is a cultural club that promotes Ukrainian culture, history, and politics through advocacy, educational events, and cultural programming on campus. BAU hosts a Ukrainian Language Table and supports the Ukrainian Library Project. The club is open to all Brown students and is committed to fostering an inclusive environment where all individuals are treated with respect and dignity.",bau@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brown.ukraine,https://www.facebook.com/brown.ukraine,,,,,,https://studentactivities.brown.edu/organizations/alliance-ukraine-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Alt Protein Project, Brown","The Brown Alt Protein Project, proudly supported by the Good Food Institute, is dedicated to advancing the development of alternative proteins. Through our weekly meetings, outreach efforts, research coordination, educational programs, and awareness campaigns, we passionately advocate for sustainable food systems. Our goal is to inspire a profound shift towards equitable food practices in Brown, Rhode Island and across the world.",altprotein@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownaltpro,,,,,,,https://studentactivities.brown.edu/organizations/alt-protein-project-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Alumnae Hall Advisory Board,"The Alumnae Hall Advisory Board (AHAB) is a body of representatives from Brown student groups that facilitates the use of Alumnae Hall for performances and other events. AHAB fulfills the management needs of Alumnae Hall in its growing role as a student performance space. As a Category II group, AHAB has ownership over Alumnae Hall's stage, lighting, sound, and theatrical equipment and will perform maintenance, make policy decisions, and train student groups in the equipment's use.",ahab@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/alumnae-hall-advisory-board,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Alzheimer's Activists, Brown","Brown Alzheimer's Activists (BAA) is a peer advocacy group open to the entire Brown community focusing on Alzheimer's Disease (AD) and related dementias. The mission of BAA is to promote the advocacy of Alzheimer’s disease and other related dementias. Its goal is to spread awareness, educate its members with panel events and lab tours, fundraise money that will be donated to AD research, volunteer to improve the quality of life of those living with PD as well as their families/caregivers, and spread brain health education to broader communities. BAA holds biweekly meetings, weekend volunteer opportunities at local long-term care facilities, and various events throughout the semester including lab tours, panel events, fundraisers, and the annual Walk to End Alzheimer's.",alzactivists@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownalzheimersactivists,,,,,,,https://studentactivities.brown.edu/organizations/alzheimers-activists-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,American Cancer Society at Brown University,"ACS at Brown strives to support cancer patients and families, achieving the vision of a cancer free world. Through the four avenues of advocacy, education, fundraising and clinical patient support, our club embraces a holistic approach toward promoting cancer awareness and change. We will participate in national, state, and local events under the American Cancer Society, providing club members with unique experiences and opportunities.",brownacs@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/acsatbrown,,,,,,,https://studentactivities.brown.edu/organizations/american-cancer-society-brown-university,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,American Civil Liberties Union,"The Brown ACLU, a chapter of the ACLU of Rhode Island, is open to all students, and there shall be no discrimination on the basis of race, color, religion, sex, age, national or ethnic origin, disability, veteran status, sexual orientation, gender identity, gender expression, or caste. The ACLU calls attention to encroachments on civil liberties, holds events and publicizes recognition of civil rights on campus, and collaborates with the RI ACLU in doing so.",aclu@brown.edu,Cassie Sutten Coats,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownaclu,,,,,,,https://studentactivities.brown.edu/organizations/american-civil-liberties-union,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,American Institute of Chemical Engineers Brown University Chapter,"Welcome to the Brown University chapter of the American Institute of Chemical Engineers (AIChE)! This chapter focuses on creating a community for students studying, or interested in, chemical engineering. Students will have the opportunity to attend the AIChE Annual Student Conference, where they compete in the student poster competition and meet with potential future employers at the recruitment fair. The Brown chapter also organizes an annual liquid nitrogen ice cream event. AIChE is the world’s leading organization for chemical engineering professionals, with over 40,000 members from over 90 countries.",aiche@brown.edu,Marisa Fortney,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/american-institute-chemical-engineers-brown-university-chapter,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,American Medical Women's Association,"Brown University American Medical Women's Association, AMWA, is a student organization open to all members of the Brown undergraduate community, bringing together individuals in medicine and health-related fields to promote women's health and support both professional and personal development.",brown-amwa@brown.edu,Marisa Fortney,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownamwa,,,,,,,https://studentactivities.brown.edu/organizations/american-medical-womens-association,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"American Red Cross, Brown","Guided by the fundamental principles of the American Red Cross and its mission to prevent and alleviate human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors, the Brown American Red Cross Club (BARC) will learn, practice and exemplify humanitarian values through mission-related service projects.",brownamericanredcross@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/american-red-cross-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Amnesty International at Brown,"Amnesty International at Brown is a student-led human rights organization open to all students. We raise awareness about global and local human rights issues through campaigns, events, and advocacy. Our group empowers students to take action against injustice and work toward a more just and equitable world.",amnestyintl@brown.edu,Cassie Sutten Coats,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/amnesty_brownu,,,,,,,https://studentactivities.brown.edu/organizations/amnesty-international-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Analytics Group, Brown","Brown Analytics Group (BAG) aims to provide an introductory club to any type of data analytic, with an emphasis on sports analytics. It is open to all Brown students, graduate or undergraduate. We are not a pre-professional organization, as we aim to help students develop skills and passion for data analytics.",bag@brown.edu,Marisa Fortney,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/analytics-group-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Animal Rights Coalition, Brown","BARC is a passionate collective that advocates for the rights and welfare of all sentient beings. The club engages in a variety of activities aimed at encouraging compassion for and fair treatment of all animals. This includes weekly discussion meetings, outreach events such as movies, activism, and lectures, field trips to local animal rights organizations, and engagement in the cooking and enjoyment of vegan food. We are committed to fostering community and promoting veganism at Brown and in Rhode Island.",animalrights@brown.edu,Cassie Sutten Coats,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/barc_brown,,,,,,,https://studentactivities.brown.edu/organizations/animal-rights-coalition-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Animation Team, Brown (BAT)","Brown Animation Team provides a space for animators and artists from Brown to learn and work collaboratively to create animated films. Weekly meetings allow members to participate in several aspects of the animation pipeline, such as story writing, animating, and critique. We also hold workshops for students new to animation to get them familiar with different skills. BAT enables students of all levels of animation to come together to create inspiring and meaningful works of art!",bat@brown.edu,Marisa Fortney,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownanimationteam,,,,,,,https://studentactivities.brown.edu/organizations/animation-team-brown-bat,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Anime Society, Brown","The Brown Anime Society comes together to watch and discuss a wide variety of genres and works within Japanese animation. They meet twice a week to watch anime together, and attend conventions and sometimes film screenings off-campus.",animesociety@brown.edu,Malcom Moniz,Category 2,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/anime-society-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Anime Video Game Ensemble,"Brown Anime Video Game Ensemble (AVGE) is a student-led, student-run ensemble that arrangers and performs songs from anime and video games. We are accept all students regardless of musical experience, including members of Brown Graduate School and RISD.",avge@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownavge,,,,,,,https://studentactivities.brown.edu/organizations/anime-video-game-ensemble,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Anti-Carceral at Brown,"ACAB engages abolition in theory and practice through mutual aid projects, volunteering with community organizations, fundraising, and political education. ACAB believes the end of prisons - of all forms - requires the destruction and dismantling of systems of homophobia, transphobia, anti-Blackness, imperialism, misogyny, colonialism, and racial capitalism, all of which intersect with the prison-industrial complex. The group is non-hierarchical; it values the voices and ideas of all members.",railroad@brown.edu,Cassie Sutten Coats,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/railroadpvd,,,,,,,https://studentactivities.brown.edu/organizations/anti-carceral-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,APAMSA (Asian Pacific American Medical Student Association),"The Asian Pacific American Medical Student Association (APAMSA) aims to build a supportive and inclusive community bringing together students invested in understanding and addressing the unique health challenges currently faced by Asian Pacific American populations. APAMSA is open to all students, offering opportunities for education, outreach, and professional growth through initiatives such as community health workshops, speaker events, and collaborations with local organizations.",apamsa_undergrad@brown.edu,Marisa Fortney,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/apamsa-asian-pacific-american-medical-student-association,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Arab Society, Brown University","The Arab Society at Brown is a welcoming and inclusive student organization committed to fostering a deeper understanding and appreciation of the diverse cultures, histories, and traditions of the Arab world. Through a variety of events—including cultural celebrations, guest speakers, film screenings, and discussions—the club creates opportunities for meaningful engagement and cross-cultural dialogue. While it serves as a community space for Arab-identifying students, the organization is open to all Brown students, regardless of background, who are interested in learning about or connecting with the Arab region. The Arab Society aims to build lasting relationships across communities by promoting education, cultural awareness, and mutual respect.",arab-society@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownarabsociety,,,,,,,https://studentactivities.brown.edu/organizations/arab-society-brown-university,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Argentine Student Society, Brown","The Brown Argentina Student Society strives to be an open space on campus for every and all interested in Argentine culture to get to know more of the traditions, art, and customs that shape it. BASS aims to foster a strong sense of community among Argentine students at Brown and with anyone within the Brown community interested in getting to know and immersing themselves in the Argentine culture. Through inclusive events and gatherings, we are committed to celebrating Argentine culture while building meaningful connections across students from different backgrounds.""",argentinestudentsociety@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownargentiness,,,,,,,https://studentactivities.brown.edu/organizations/argentine-student-society-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Armenian Student Association,"The Armenian Student Association strives to unite all students through the celebration of Armenian culture. We share Armenian heritage, history, and cuisine through a variety of events, including cooking sessions, film nights, guest lecturers, and other cultural activities. The Armenian Student Association is not limited to those of Armenian ancestry and is open to students of all backgrounds and perspectives.",armenianstudentassocation@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownarmeniansociety,,,,,,,https://studentactivities.brown.edu/organizations/armenian-student-association,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,ARRR!!!,"ARRR!!! is an an acapella group dedicated to preserving and performing historical folk, labor, and sea music. Also, they dress up like pirates and act very silly.",arrr@brown.edu,Jen Lucero,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/piratesofbrown,,,,,,,https://studentactivities.brown.edu/organizations/arrr,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Art for Service,"Art for Service meets weekly to create artwork that benefits the local community, both on campus and beyond. In the past, the organization has painted large canvas panels to donate to Sojourner House and raised money to buy goods for both the RI Food Bank and Refugee Dream Center through live-painting sessions at Waterfire and the Lindemann Opening Ceremony. A4S Also works collaboratively with other clubs on campus and has created coloring pages for hospital patients.",art4service@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/artforservice,,,,,,,https://studentactivities.brown.edu/organizations/art-service,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Art Review, Brown University","The Brown University Art Review (BAR) is Brown’s premier magazine dedicated to the study, review, and appreciation of art on the hill and around the world. Established in 2023, BAR is a fully student-written and student-run publication, issuing weekly editions on its website and annual printed publications. Open to any student interested in art from Brown and RISD, BAR fosters a community of zealous art lovers, thereby strengthening the Rhode Island artistic community in Providence and beyond.",artreview@brown.edu,Mia McKinney,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownartreview,,,,,,,https://studentactivities.brown.edu/organizations/art-review-brown-university,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Association for Women in Mathematics,"The Association for Women in Mathematics provides a space for all students who are interested in issues impacting underrepresented gender identities in MATH/APMA through community building, mentorship, and professional development. AWM events are for undergrad and grad students and range from casual meetings, to informal advising and mentoring, and even professional development panels focused on issues impacting minorities in Math/APMA. AWM and its events are open to all, regardless of gender or concentration, ensuring equitable opportunity and inclusivity in mathematics.",awm@brown.edu,Marisa Fortney,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/brown_awm,,,,,,,https://studentactivities.brown.edu/organizations/association-women-mathematics,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Astronomy Club,"The Astronomy Club hosts stargazing and astronomy/astrophysics outreach events. In addition, the club assists in university-wide astronomy planning with the Physics Department and the Rhode Island Space Grant. The Astronomy Club aims to foster a welcoming environment for all those who are interested in astronomy and outer space. Past projects include a viewing of the Green Comet for over 200 people, Brown’s eclipse viewing, and weekly observing events at Barus and Holley.",astronomy_club@brown.edu,Marisa Fortney,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brown.astro,,,,,,,https://studentactivities.brown.edu/organizations/astronomy-club,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Athletes in Action,"We provide space for all students to learn and discuss the integration of faith, sport, and life. Through guest speakers (mostly former collegiate/pro athletes), team building activities, and small group discussions, we explore the intersection of the spiritual and the physical in order to maximize our potential.",aia@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/athletes-action,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Attitude Dance Company,"Attitude Dance Company is an entirely student-choreographed, multi-style dance group. Attitude welcomes dancers from all backgrounds and abilities and try to include dancers with a variety of strengths to learn from each other – intentionally aiming to create an environment that is diverse, welcoming, and accepting. Performance and sharing dance is an important part of our company, so Attitude organizes one show per semester and participates in many performances around campus throughout the year.",attitude@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/attitudedancecompany,https://www.facebook.com/attitudeatbrown,,,,,,https://studentactivities.brown.edu/organizations/attitude-dance-company,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Autistic Student Union, Brown","The Brown Autistic Student Union is a vibrant community where students gather to celebrate autistic ways of being and thinking and to smash neuronormativity. Our vision is to build a world that embraces and empowers all ways of thinking, feeling, and being. Whether you’re autistic, otherwise neurodivergent, or an ally who shares this vision, you’re welcome here. Join us for social gatherings, craft events, and spaces of solidarity as we create joy, connection, and collective liberation.",brownasu@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/autistic-student-union-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Badmaash,"Brown Badmaash Dance Company is a student-run, South Asian fusion dance team at Brown University. We are open to people of all backgrounds, genders, experience levels, and class years. Every year, we proudly produce a spring show and compete nationally, in addition to several fundraisers and workshops.",badmaash@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownbadmaash,,,,,,,https://studentactivities.brown.edu/organizations/badmaash,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Ballet Company, Brown","Brown Ballet Company is a student-led organization that focuses on ballet as their primary dance style. BBC holds regular company classes and rehearsals, intermediate classes, and workshops (such as beginner ballet classes and variations) open to all Brown and RISD students. They plan on hosting a classical performance every fall semester (ex. The Nutcracker) and a student choreographed show every spring semester.",brownballetco@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownballetcompany,,,,,,,https://studentactivities.brown.edu/organizations/ballet-company-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Ballet&Books,"Ballet&Books is a volunteer organisation that partners with a local elementary school. They aim to close the literacy gap through a unique 1:1 curriculum with dance and movement styles included. This organisation is open to all, whether you have worked with youth before, are a dancer, or neither! Ballet&books strives to have a diverse set of mentors that can enrich the children's experience.",ballet&books@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/balletbooksbrown,,,,,,,https://studentactivities.brown.edu/organizations/balletbooks,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Ballroom Dance Team, Brown","Brown Ballroom is a group of Ballroom Dance enthusiasts comprised of Brown affiliates, RISD affiliates, and members from the nearby community (anyone is welcome)! We have many hours of weekly lessons where our members can learn and focus on the competitive and/or social aspects of Ballroom Dance!",bbdt@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownballroom,,,,,,,https://studentactivities.brown.edu/organizations/ballroom-dance-team-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Barsaat, Brown","Brown Barsaat is Brown's premier South Asian a cappella group. Students of all backgrounds are welcome to join as Barsaat performs music by South Asian artists — whether that's a pop/Bollywood medley, a classical South Asian song, or a Western pop song by an artist of South Asian heritage. Barsaat is a co-ed group that arranges all of their own music.",brownbarsaat@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownbarsaat,,,,,,,https://studentactivities.brown.edu/organizations/barsaat-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
